stop_id,route_type_id
293473,0
654634,0
656884,0
506228,0
673742,0
316643,0
146846,0
632163,0
678518,0
389504,0
505865,0
91798,0
289457,0
667539,0
295273,0
248273,0
634817,0
552201,0
206780,0
588251,0
282649,0
217398,0
628574,0
647329,0
242082,0
234579,0
607104,0
403828,0
64678,0
323472,0
266214,0
210832,0
386683,0
87566,0
473478,0
441352,0
14698,0
73395,0
479244,0
668883,0
14130,0
122214,0
683522,0
280009,0
118294,0
483705,0
172256,0
451463,0
121509,0
428385,0
298179,0
79539,0
455987,0
92164,0
99314,0
433442,0
5683,0
286448,0
346296,0
415915,0
619846,0
511821,0
127380,0
619372,0
96408,0
141670,0
637697,0
292130,0
488352,0
539165,0
668301,0
25944,0
391504,0
69076,0
122105,0
491830,0
245040,0
400280,0
683081,0
222498,0
187910,0
381150,0
396670,0
585581,0
178429,0
96723,0
309443,0
418094,0
173016,0
83065,0
132137,0
354286,0
284308,0
194768,0
196432,0
133916,0
193345,0
528235,0
178488,0
311312,0
35700,0
525702,0
677315,0
357583,0
545644,0
620491,0
247422,0
630321,0
371072,0
118997,0
674763,0
142554,0
574955,0
319657,0
34423,0
46426,0
41822,0
221148,0
654532,0
487012,0
580366,0
41926,0
466203,0
287742,0
291653,0
439966,0
274849,0
185425,0
613384,0
356590,0
102350,0
208862,0
27595,0
644743,0
78115,0
494080,0
420840,0
18628,0
26164,0
121141,0
9197,0
583138,0
523755,0
436085,0
185638,0
377557,0
327578,0
459695,0
171877,0
441682,0
285717,0
440879,0
98127,0
76558,0
526871,0
397408,0
571623,0
111033,0
151766,0
278887,0
367758,0
43886,0
395518,0
441126,0
435254,0
677256,0
315863,0
631382,0
600041,0
151490,0
23274,0
427353,0
276133,0
103640,0
166764,0
227606,0
121378,0
661642,0
671270,0
89979,0
364345,0
321304,0
151237,0
360132,0
34191,0
436578,0
542135,0
96398,0
661015,0
213274,0
183484,0
232920,0
100955,0
368467,0
498270,0
647913,0
330558,0
266531,0
197532,0
559556,0
600186,0
494635,0
498489,0
493322,0
169743,0
456619,0
220158,0
661340,0
370928,0
181466,0
522241,0
563999,0
146749,0
117422,0
631114,0
467283,0
396000,0
96517,0
369591,0
471150,0
467173,0
565680,0
181494,0
310744,0
579151,0
89419,0
217305,0
481795,0
299338,0
320941,0
537518,0
366724,0
163388,0
152903,0
588325,0
457404,0
562420,0
28485,0
76860,0
6183,0
266431,0
373332,0
66411,0
516444,0
241687,0
149460,0
37299,0
464614,0
237021,0
235303,0
601969,0
662926,0
661947,0
